PTV 12nc nr     GIT vare nr
2322 156 13571	202-2357
2322 156 13572	202-3357
2322 156 13573	202-4357
2322 156 13574	202-5357
2322 156 13579	202-1357
2322 156 13921	202-2392
2322 156 13922	202-3392
2322 156 13923	202-4392
2322 156 13924	202-5392
2322 156 13929	202-1392
2322 156 14321	202-2432
2322 156 14322	202-3432
2322 156 14323	202-4432
2322 156 14324	202-5432
2322 156 14329	202-1432
2322 156 14751	202-2475
2322 156 14752	202-3475
2322 156 14753	202-44751
2322 156 14754	202-5475
2322 156 14759	202-1476
2322 156 15111	202-2511
2322 156 15112	202-3511
2322 156 15113	202-4511
2322 156 15114	202-5511
2322 156 15118	202-0511
2322 156 15119	202-1511
2322 156 15361	202-2536
2322 156 15621	202-2562
2322 156 15622	202-3562
2322 156 15623	202-4562
2322 156 15624	202-5562
2322 156 15629	202-1562
2322 156 16191	202-2619
2322 156 16192	202-3619
2322 156 16193	202-4619
2322 156 16194	202-5619
2322 156 16199	202-1619
2322 156 16811	202-2681
2322 156 16812	202-3681
2322 156 16813	202-4681
2322 156 16814	202-5681
2322 156 16819	202-1681
2322 156 17501	202-2750
2322 156 17502	202-3750
2322 156 17503	202-4750
2322 156 17509	202-1750
2322 156 18251	202-2825
2322 156 18252	202-3825
2322 156 18253	202-4825
2322 156 18254	202-5825
2322 156 18259	202-1825
2322 156 19091	202-2909
2322 156 19092	202-3909
2322 156 19093	202-4909
2322 156 19099	202-1909
2322 181 53478	201-047
2322 195 13202	205-320
2322 241 13106	211-710
2322 241 13125	211-6121
2322 241 13155	211-615
2322 241 13225	211-6221
2322 241 13335	211-6330
2322 241 13475	211-647
2322 241 13565	211-6560
2322 241 13685	211-6680
2322 241 13825	211-682
2322 242 13336	211-7331
2322 242 13755	211-6750
2322 329 04477	205-00474
2322 380 71002	241-222
2322 380 71004	241-3102
2322 380 71007	241-41013
2322 501 90211	221-4103
2322 502 90143	221-4104
2322 510 01507	227-4106
2322 515 00009	241-4474
2322 640 63101	212-210
2322 640 63152	212-315
2322 640 63221	212-222
2322 640 98004	212-412
2322 672 91026	213-TS70
2322 711 90003	501-000
2322 712 30106	501-710
2322 712 30109	501-110
2322 715 20478	501-047
2322 730 51106	503-710
2322 730 51225	503-622
2408 128 00033	343-PTV00033
2408 128 00034	343-3FTH980
2408 128 00035	343-3FTH940
2408 128 00036	343-3FTH920
2408 135 00032	165-00032
2408 135 00033	165-00033
2408 135 00035	165-00035
2408 549 00038	252-315
2412 027 00067	337-01508
2412 128 02141	343-PTV02141
2412 128 02142	343-PTV02142
2412 128 02143	343-PTV02143
2412 128 02212	343-PTV02212
2412 128 02213	343-PTV02213
2412 128 02214	343-PTV02214
2412 128 02215	343-PTV02215
2412 131 00545	351-DS4EM
2412 541 00174	281-B781083
2412 541 00272	281-00272
2422 015 01003	160-PTV01003
2422 015 05008	105-145
2422 015 05024	105-143
2422 021 98031	318-064
2422 021 98225	311-110010
2422 021 98385	311-641005
2422 021 98386	311-641006
2422 021 98866	306-9015116
2422 022 98154	312-036
2422 024 00524	321-003
2422 025 03232	318-0103
2422 025 03495	320-010
2422 025 03962	312-641003
2422 025 05385	306-05385
2422 025 05784	316-0142
2422 025 06399	311-2150798
2422 025 07158	311-AMP06
2422 025 07159	315-010
2422 025 07163	315-016
2422 025 07164	333-215570
2422 025 07862	311-316007
2422 025 07863	311-1082
2422 025 07876	311-104
2422 025 08508	317-024
2422 025 09571	337-00910
2422 025 10279	313-0062
2422 025 10281	311-010
2422 025 10632	318-104110
2422 025 10635	316-104110
2422 025 10636	316-104116
2422 025 14657	312-0041
2422 025 98588	312-0361
2422 025 98589	305-5041397
2422 031 00379	334-53K401
2422 031 10299	319-10299
2422 033 00027	383-6J4
2422 034 10518	313-0041
2422 034 10519	313-0061
2422 034 10652	313-0032
2422 034 10653	313-0051
2422 034 10655	313-0091
2422 034 10656	313-010
2422 034 10658	313-012
2422 034 11667	313-016
2422 034 11791	375-M823
2422 034 16177	313-0052
2422 034 20018	160-20018
2422 038 00006	311-005
2422 038 00013	311-403106
2422 062 40351	316-006
2422 062 40441	311-8266294
2422 062 40741	312-0071
2422 062 40751	316-251207
2422 062 40951	316-018
2422 062 41651	316-032
2422 086 01082	363-T2501
2422 126 01181	349-AMP7030
2422 132 06526	351-UM1L
2422 486 80008	301-032
2422 486 80016	303-084
2422 486 80138	301-241
2422 486 80151	301-32
2422 486 80236	301-064
2422 486 80471	603-841
2422 487 89395	160-PTV89395
2422 535 98571	281-320
2422 535 98669	281-482
2422 535 98715	281-415
2422 535 98949	281-5105
2422 535 98961	281-TSL11101
2422 535 98971	281-5471
2422 549 03527	279-SFE45MB
2422 549 03528	279-SFE55MB
2422 549 03567	279-SFE57MB
2422 549 13114	305-514-AG7D
2422 549 13468	301-08
2422 549 13623	301-16
2422 549 13625	301-20
2422 549 13627	301-242
2422 549 13628	301-28
2422 549 13629	301-40
2422 549 40747	279-SFS45ME
2422 549 41719	279-SFE4724MB
2432 490 00085	311-0101
2508 642 00001	105-2101
2508 700 00001	165-TS3
2508 700 00002	165-TS4
2508 700 00004	165-TS6
2511 083 00003	105-0133
2522 006 02006	105-0506
2522 032 97238	105-1141
2522 164 30004	105-1272
2522 178 31023	105-0101
2522 178 31036	105-0111
2522 178 31038	105-011
2522 178 31058	105-038
2522 178 31059	105-0464
2522 178 31061	105-048
2522 178 31062	105-0531
2522 178 31064	105-0562
2522 179 82093	105-041
2522 179 82095	105-050
2522 179 82096	105-0501
2522 179 82109	105-0622
2522 179 82381	105-362506
2522 179 82413	105-0132
2522 179 82428	105-0563
2522 187 21044	105-3625061
2522 187 21045	105-0131
2522 187 21065	105-30060
2522 187 21066	105-30080
2522 187 21067	105-3630100
2522 187 21068	105-30120
2522 187 21071	105-30160
2522 204 03012	105-0112
2522 204 03013	105-0116
2522 204 03014	105-0134
2522 204 03016	105-0162
2522 401 05011	105-0711
2522 401 64005	160-PTV64005
2522 401 64008	105-021
2522 401 64064	160-PTV64064
2522 424 02013	105-02013
2522 479 04004	105-0010404
2522 600 10026	105-2400431
2522 600 20137	105-0270651
2522 600 28017	160-PTV28017
2522 600 86017	105-032070
2522 600 86018	105-0292
2522 600 86137	105-027065
2522 608 05002	160-PTV05002
2522 615 04011	160-04011
2522 642 04083	160-PTV04083
2522 642 04086	160-PTV04086
2522 728 04003	105-1271
2522 728 04005	105-12712
2522 728 04016	105-12711
2531 411 02004	105-KFS2-M3
2712 171 02053	409-HD1075O
2722 162 90132	425-HPF505
2722 162 90226	425-SRA2010MH
2722 162 90381	425-SRA-1H
3122 121 24440	160-PTV24440
3304 050 90570	425-OM2060
3304 050 90600	425-OM2045
3508 100 20650	503-022
3508 100 20670	503-033
3508 100 20730	503-610
3508 100 22040	525-4102
3508 100 40190	581-5472
3922 034 01010	425-OQ0702
3922 034 01020	725-OQ0702T
4008 000 40890	441-4089
4008 002 00080	721-MAX1232
4008 002 00450	439-AD811
4008 002 01690	425-AD9148
4008 002 01700	439-TMC2249
4008 002 01730	453-7C132
4008 002 01740	425-AD834
4008 002 02040	439-4328
4008 002 02170	453-80C323
4008 002 02460	439-SAA5231
4008 002 03340	725-LT1203CS8
4008 002 03410	425-LTC1298
4008 002 03420	425-MAX153
4008 002 03750	439-DP8310
4008 002 04010	453-68HC000
4008 002 04590	421-CA3446
4008 002 04600	453-24C08
4008 002 04680	725-TLE2082
4008 002 04730	753-PCF8574
4008 002 04960	751-P51XAG30KB
4008 002 04990	734-FCT574A
4008 002 05030	739-AD768
4008 002 05110	739-211
4008 002 05310	453-HM6264
4008 002 05500	753-MAX4102
4008 002 05510	753-NM24C02
4008 002 05930	725-MAX518
4008 002 06160	725-ERA5SM
4008 002 06250	742-NC00
4008 002 06260	742-NC125
4008 002 06270	751-MAX810
4008 002 06280	751-56007
4008 002 06300	745-86
4008 002 07180	763-PTV07180
4008 007 40000	432-00
4008 007 40020	432-02
4008 007 40040	432-04
4008 007 40740	432-74
4008 007 41600	432-160
4008 007 41610	432-161
4008 007 42210	432-221
4008 007 42440	432-244
4008 007 43740	432-374
4008 100 03460	281-03460
4008 100 06430	281-528700
4008 100 06470	281-06470
4008 100 06490	281-06490
4008 100 06770	281-528720
4008 100 06850	281-06850
4008 100 06860	281-06860
4008 100 07070	281-07070
4008 100 07140	281-07140
4008 100 07330	281-07330
4008 100 07590	281-07590
4008 100 07610	281-07610
4008 100 07620	281-07620
4008 100 07630	281-07630
4008 100 07640	281-07640
4008 100 07650	281-07650
4008 100 07660	281-07660
4008 100 07670	281-07670
4008 100 07680	281-07680
4008 100 07690	281-07690
4008 100 07700	281-07700
4008 100 07720	281-07720
4008 100 07750	281-07750
4008 100 07760	281-07760
4008 100 07770	281-07770
4008 100 07780	281-07780
4008 100 07810	281-07810
4008 100 07820	281-07820
4008 100 07830	281-07830
4008 100 07840	281-07840
4008 100 07850	281-07850
4008 100 07860	281-07860
4008 100 07870	281-07870
4008 100 07880	281-07880
4008 100 07890	281-07890
4008 100 07900	281-07900
4008 100 07920	281-07920
4008 100 07930	281-07930
4008 100 07940	281-07940
4008 100 07950	281-07950
4008 100 07960	281-07960
4008 100 07970	281-07970
4008 100 07980	281-07980
4008 100 07990	281-07990
4008 100 08000	281-08000
4008 100 08010	281-08010
4008 100 08020	281-08020
4008 100 08040	281-08040
4008 100 08050	281-08050
4008 100 08060	281-08060
4008 100 08070	281-08070
4008 100 08080	281-08080
4008 100 08090	281-08090
4008 100 08100	281-08100
4008 100 08110	281-08110
4008 100 08120	281-08120
4008 100 08130	281-08130
4008 100 08140	281-08140
4008 100 08150	281-08150
4008 100 08160	281-08160
4008 100 08170	281-08170
4008 100 08180	281-08180
4008 100 08190	281-08190
4008 100 08200	281-08200
4008 100 08210	281-08210
4008 100 08220	281-08220
4008 100 08230	281-08230
4008 100 08240	281-08240
4008 100 08250	281-08250
4008 100 08260	281-08260
4008 100 08270	281-08270
4008 100 08520	281-08520
4008 100 08540	281-08540
4008 100 08550	281-08550
4008 100 08560	281-08560
4008 100 08570	281-08570
4008 100 08580	281-08580
4008 100 08630	281-08632
4008 100 08640	281-08643
4008 100 08650	281-08650
4008 100 08660	281-08660
4008 100 08670	281-08670
4008 100 08680	281-08680
4008 100 08690	281-08690
4008 100 08700	281-08700
4008 100 08760	281-08760
4008 100 08840	281-08840
4008 100 08850	281-08850
4008 100 08860	281-08860
4008 100 08900	281-08900
4008 100 08950	281-08950
4008 100 08990	281-08990
4008 100 09020	281-09020
4008 100 09040	281-09040
4008 100 09050	281-09050
4008 100 09060	281-09060
4008 100 09070	281-09070
4008 100 09080	281-09080
4008 100 09090	281-09090
4008 100 09100	281-09100
4008 100 09110	281-09110
4008 100 09120	281-09120
4008 100 09140	281-09140
4008 100 09150	281-09150
4008 100 09190	281-09190
4008 100 09230	281-09230
4008 100 09250	280-627
4008 100 09310	281-09310
4008 100 09330	281-09330
4008 100 09430	281-09430
4008 100 09440	281-09440
4008 100 09470	281-09470
4008 100 09490	281-09490
4008 100 09500	281-09500
4008 100 09510	281-09510
4008 100 09520	281-09520
4008 100 09530	281-09530
4008 100 09550	280-468
4008 100 09560	281-09561
4008 100 09570	281-09571
4008 100 09580	281-09580
4008 100 09620	281-09620
4008 100 09630	281-09630
4008 100 09640	281-09640
4008 100 09650	281-09650
4008 100 09670	281-09670
4008 100 09710	281-09710
4008 100 09750	281-09750
4008 100 09760	281-09760
4008 100 09770	281-09770
