KU    , Dato  , Tid     , EBU ,   ,     , SMPTE,  ,     ,  BW ,    ,Halogen,, Ref EBU,,     , Ref SMPTE,,   , Ref BW, ,Design, Zone,,,Ugekode,,   ,SW rev
      ,       ,         , x   ,y  ,Y    , x  ,y   ,Y    , x   ,y   ,x  ,y   ,x   ,y   ,Y    ,x   ,y   ,Y    ,x   ,y   ,RGB,  R,G,B ,R   ,G   ,B   ,    ,CertNo ,Type, Ref mon, Bem‘rkninger
042129, 990129,  9:42:48,3064,3297, 81.0,3170,3361,101.6,2793,2763,4916,3967,    ,    ,     ,    ,    ,     ,    ,    ,332,24,24,57,1998,0998,1398,03.4,*****,  90  ,     EBU, Produktion/f›r varme.
000004, 990129, 10:13:20,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,2952,3199, 78.4,2951,3263, 99.1,2503,2684,   ,  ,  ,  ,    ,    ,    ,    ,     ,      ,        , ref sensor
042130, 990129, 10:14:35,3091,3294, 80.5,3199,3351,100.8,2846,2765,4910,3951,    ,    ,     ,    ,    ,     ,    ,    ,332,24,24,57,1998,0998,1398,03.4,*****,  90  ,     EBU, Produktion/f›r varme.
000004, 990129, 12:55:02,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,2952,3195, 78.3,2971,3271, 99.7,2505,2682,   ,  ,  ,  ,    ,    ,    ,    ,     ,      ,        , ref sensor
042213, 990129, 12:56:15,3070,3300, 81.0,3187,3361,102.2,2819,2764,4931,3931,    ,    ,     ,    ,    ,     ,    ,    ,332,24,24,57,1998,0998,1398,03.4,*****,  90  ,     EBU, Produktion/f›r varme
042132, 990129, 13:05:48,3066,3297, 80.4,3184,3367,102.9,2827,2769,4904,3944,    ,    ,     ,    ,    ,     ,    ,    ,332,24,24,57,1998,0998,1398,03.4,*****,  90  ,     EBU, Produktion/f›r varme.
042133, 990129, 13:12:38,3065,3298, 80.9,3185,3365,102.9,2804,2769,4897,3960,    ,    ,     ,    ,    ,     ,    ,    ,332,24,24,57,1998,0998,1398,03.4,*****,  90  ,     EBU, Produktion/f›r varme.
000004, 990129, 14:43:38,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,2954,3195, 78.3,2978,3284,101.3,2491,2686,   ,  ,  ,  ,    ,    ,    ,    ,     ,      ,        , ref sensor
042134, 990129, 14:44:45,3065,3301, 81.0,3186,3366,102.9,2797,2776,4897,3953,    ,    ,     ,    ,    ,     ,    ,    ,332,24,24,57,1998,0998,1398,03.4,*****,  90  ,     EBU, produktion/f›r varme.
000004, 990201, 11:49:23,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,2955,3201, 78.2,2964,3259, 99.6,2492,2689,   ,  ,  ,  ,    ,    ,    ,    ,     ,      ,        , ref sensor
042135, 990201, 11:50:57,3070,3302, 80.7,3171,3355,102.5,2780,2776,4896,3955,    ,    ,     ,    ,    ,     ,    ,    ,332,24,24,57,1998,0998,1398,03.4,*****,  90  ,     EBU, Produktion/f›r varme.
042137, 990201, 12:03:51,3068,3299, 80.9,3187,3362,103.5,2801,2771,4896,3947,    ,    ,     ,    ,    ,     ,    ,    ,332,24,24,57,1998,0998,1398,03.4,*****,  90  ,     EBU, Produktion.f›r varme.
042136, 990201, 12:10:51,3068,3297, 81.0,3180,3361,102.6,2789,2765,4915,3929,    ,    ,     ,    ,    ,     ,    ,    ,332,24,24,57,1998,0998,1398,03.4,*****,  90  ,     EBU, Produktion/f›r bvarme.
000004, 990205, 11:17:43,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,2891,3102,  0.1,2959,3266,101.1,2498,2684,   ,  ,  ,  ,    ,    ,    ,    ,     ,      ,        , ref sensor
