#Release 8.1.03i - par I.27
#Copyright (c) 1995-2005 Xilinx, Inc.  All rights reserved.

#Thu Jun 28 10:51:23 2007

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       HD_Gen_Module_map.ncd
#OUTPUT FILE:      HD_Gen_Module_pad.csv
#PART TYPE:        xc2vp20
#SPEED GRADE:      -6
#PACKAGE:          ff896
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
AB29,,DIFFS,IO_L45N_6/VREF_6,UNUSED,,6,,,,,,,,,,
AB30,,DIFFM,IO_L51P_6,UNUSED,,6,,,,,,,,,,
AC1,,,GND,,,,,,,,,,,,,
AC2,,DIFFM,IO_L45P_3,UNUSED,,3,,,,,,,,,,
AC3,ddr2_address<6>,IOB,IO_L43N_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AC4,ddr2_address<5>,IOB,IO_L43P_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AC5,,DIFFS,IO_L35N_3,UNUSED,,3,,,,,,,,,,
AC6,,DIFFM,IO_L35P_3,UNUSED,,3,,,,,,,,,,
AC7,,,CCLK,,,,,,,,,,,,,
AC8,,,DONE,,,,,,,,,,,,,
AC9,,DIFFS,IO_L02N_4/D0,UNUSED,,4,,,,,,,,,,
AC10,,DIFFS,IO_L07N_4,UNUSED,,4,,,,,,,,,,
AC11,,DIFFS,IO_L37N_4,UNUSED,,4,,,,,,,,,,
AC12,,DIFFS,IO_L43N_4,UNUSED,,4,,,,,,,,,,
AC13,,DIFFS,IO_L46N_4,UNUSED,,4,,,,,,,,,,
AC14,,DIFFM,IO_L49P_4,UNUSED,,4,,,,,,,,,,
AC15,,DIFFM,IO_L67P_4,UNUSED,,4,,,,,,,,,,
AC16,,DIFFS,IO_L67N_5,UNUSED,,5,,,,,,,,,,
AC17,,DIFFS,IO_L49N_5,UNUSED,,5,,,,,,,,,,
AC18,,DIFFM,IO_L46P_5,UNUSED,,5,,,,,,,,,,
AC19,,DIFFM,IO_L43P_5,UNUSED,,5,,,,,,,,,,
AC20,,DIFFM,IO_L37P_5,UNUSED,,5,,,,,,,,,,
AC21,,DIFFM,IO_L07P_5,UNUSED,,5,,,,,,,,,,
AC22,,DIFFM,IO_L02P_5/D7,UNUSED,,5,,,,,,,,,,
AC23,,,M2,,,,,,,,,,,,,
