KU    , Date  , Time    , EBU ,   ,     , SMPTE,  ,     ,  BW ,    ,Halogen,, Ref EBU,,     , Ref SMPTE,,   , Ref BW, ,Design, Zone,,,Weekcode,,   ,SW rev
      ,       ,         , x   ,y  ,Y    , x  ,y   ,Y    , x   ,y   ,x  ,y   ,x   ,y   ,Y    ,x   ,y   ,Y    ,x   ,y   ,RGB,  R,G,B ,R   ,G   ,B   ,    ,CertNo ,Type, Ref mon, Comments
042123, 010913, 11:34:06,   0,   0,  0.0,3130,3289, 79.8,  68,   0,-315328086893102826000000000000000000,   0,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,  04476,  90,   SMPTE, AUDIO VIDEO SHOWROOM
900000, 011008, 11:02:47,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,   0,   0,  0.0,3121,3290, 79.8,   0,  -0,   ,  ,  ,  ,    ,    ,    ,    ,       ,    ,        , ref sensor
030963, 011008, 11:04:20,   0,   0,  0.0,3130,3290, 80.3,  68,   0,   1,   0,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,02.1,  04577,  90,   SMPTE, Kevin Miller (ISFTV)
900000, 011008, 13:12:27,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,   0,   0,  0.0,3122,3291, 78.6,   0,  -0,   ,  ,  ,  ,    ,    ,    ,    ,       ,    ,        , ref sensor
041275, 011008, 13:13:55,   0,   0,  0.0,3128,3289, 79.9,  68,   0,   1,   0,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.2,  04613,  90,   SMPTE, Company 3
900000, 011023, 10:37:37,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,   0,   0,  0.0,3112,3286, 80.2,   0,  -0,   ,  ,  ,  ,    ,    ,    ,    ,       ,    ,        , ref sensor
041347, 011023, 10:39:23,   0,   0,  0.0,3126,3286, 80.0,  68,   0,  -0, 3.08491937362975322E+0036,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.2,  04619,  90,   SMPTE, OPTIMUS
900000, 011101, 15:49:40,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,   0,   0,  0.0,3114,3286, 79.5,   0,  -0,   ,  ,  ,  ,    ,    ,    ,    ,       ,    ,        , ref sensor
041992, 011101, 15:50:59,   0,   0,  0.0,3130,3290, 79.9,  68,   0,  -1,   0,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.2,  04692,  90,   SMPTE, EASTMAN KODAK
900000, 011114, 15:05:12,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,   0,   0,  0.0,3111,3286, 79.5,   0,  -0,   ,  ,  ,  ,    ,    ,    ,    ,       ,    ,        , ref sensor
031218, 011114, 15:08:49,   0,   0,  0.0,3131,3300, 80.4,  68,   0,   0,   0,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,02.1,  04734,  90,   SMPTE, IMAGING FUNDAMENTALS
900000, 011115, 14:15:37,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,   0,   0,  0.0,3111,3285, 79.4,   0,  -0,   ,  ,  ,  ,    ,    ,    ,    ,       ,    ,        , ref sensor
031218, 011115, 14:18:23,   0,   0,  0.0,3126,3296, 80.4,  68,   0,   0,   0,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,02.1,  04734,  90,   SMPTE, IMAGING FUNDAMENTALS
900000, 011126, 13:58:13,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,   0,   0,  0.0,3112,3286, 80.0,   0,  -0,   ,  ,  ,  ,    ,    ,    ,    ,       ,    ,        , ref sensor
052214, 011126, 13:59:35,   0,   0,  0.0,3130,3288, 80.2,  68,   0,   0,   0,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,  04648,  90,   SMPTE, THE POST GROUP
900000, 011205, 11:27:45,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,   0,   0,  0.0,3111,3284, 79.7,   0,  -0,   ,  ,  ,  ,    ,    ,    ,    ,       ,    ,        , ref sensor
052211, 011205, 11:33:06,   0,   0,  0.0,3136,3290, 79.8,  68,   0,   0,76049,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,  04741,  90,   SMPTE, SONY ELECTRONICS
030961, 011205, 11:52:38,   0,   0,  0.0,3134,3293, 80.5,  68,   0,   0,   0,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,  14741,  93,   SMPTE, SONY ELECTRONICS
