Release 7.1.03i - par H.41
Copyright (c) 1995-2005 Xilinx, Inc.  All rights reserved.

#Mon Oct 10 17:19:29 2005

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       my_gt11_map.ncd
#OUTPUT FILE:      my_gt11_pad.csv
#PART TYPE:        xc4vfx20
#SPEED GRADE:      -12
#PACKAGE:          ff672
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
AC4,,LOWCAPIOB,IO_L24P_CC_LC_8,UNUSED,,8,,,,,,,,,,
AC5,,,GND,,,,,,,,,,,,,
AC6,,LOWCAPIOB,IO_L25N_CC_LC_8,UNUSED,,8,,,,,,,,,,
AC7,,LOWCAPIOB,IO_L25P_CC_LC_8,UNUSED,,8,,,,,,,,,,
AC8,,IOBS,IO_L19N_8,UNUSED,,8,,,,,,,,,,
AC9,,IOBM,IO_L19P_8,UNUSED,,8,,,,,,,,,,
AC10,,,VCCO_8,,,8,,,,,any******,,,,,
AC11,,IOBS,IO_L3N_8,UNUSED,,8,,,,,,,,,,
AC12,,LOWCAPIOB,IO_L6N_GC_LC_4,UNUSED,,4,,,,,,,,,,
AC13,TXUSRCLK2_IN,IOB,IO_L6P_GC_LC_4,INPUT,LVCMOS25,4,,,,NONE,,,,NO,NONE,
AC14,,LOWCAPIOB,IO_L5N_GC_LC_4,UNUSED,,4,,,,,,,,,,
AC15,,,GND,,,,,,,,,,,,,
AC16,,IOBS,IO_L4N_VREF_7,UNUSED,,7,,,,,,,,,,
AC17,,IOBS,IO_L16N_7,UNUSED,,7,,,,,,,,,,
AC18,TXDATA_IN<6>,IOB,IO_L18N_7,INPUT,LVCMOS25,7,,,,NONE,,,,NO,NONE,
AC19,TXDATA_IN<7>,IOB,IO_L18P_7,INPUT,LVCMOS25,7,,,,NONE,,,,NO,NONE,
AC20,,,VCCO_7,,,7,,,,,2.50,,,,,
AC21,TXDATA_IN<11>,IOB,IO_L24P_CC_LC_7,INPUT,LVCMOS25,7,,,,NONE,,,,NO,NONE,
AC22,RXDATA_OUT<7>,IOB,IO_L31N_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,,,NO,NONE,
AC23,TXOUTCLK1_OUT,IOB,IO_L31P_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,,,NO,NONE,
AC24,TXDATA_IN<12>,IOB,IO_L25N_CC_LC_7,INPUT,LVCMOS25,7,,,,NONE,,,,NO,NONE,
AC25,,,AVCCAUXTX_105,,,,,,,,,,,,,
AC26,,OPAD,TXNPADA_105,UNUSED,,,,,,,,,,,,
AD1,,IPAD,RXNPADA_110,UNUSED,,,,,,,,,,,,
AD2,,,AVCCAUXRXA_110,,,,,,,,,,,,,
AD3,,IOBS,IO_L30N_8,UNUSED,,8,,,,,,,,,,
AD4,,IOBM,IO_L30P_8,UNUSED,,8,,,,,,,,,,
AD5,,IOBS,IO_L32N_8,UNUSED,,8,,,,,,,,,,
AD6,,IOBM,IO_L32P_8,UNUSED,,8,,,,,,,,,,
AD7,,,VCCO_8,,,8,,,,,any******,,,,,
AD8,,IOBS,IO_L17N_8,UNUSED,,8,,,,,,,,,,
AD9,,IOBM,IO_L17P_8,UNUSED,,8,,,,,,,,,,
AD10,,IOBS,IO_L1N_8,UNUSED,,8,,,,,,,,,,
